id,name,dob,gender,class_name,score
64,Dương Hảo,18/03/2007,Nam,CNTT4,10.0
65,Trần Văn,08/01/2006,Nữ,CNT2,7.3
66,Đặng Nam,05/10/2005,Nam,K15,7.3
67,Nguyễn Tuấn,06/04/2007,Nữ,K15,4.1
68,Trần Yến,07/01/2005,Nữ,CNT1,9.5
69,Hoàng Phong,11/06/2006,Nữ,K15,9.1
70,Trần Minh,08/03/2007,Nam,CNTT4,9.0
71,Trần Phong,06/02/2005,Nữ,CNTT3,6.4
72,Trần Vy,22/10/2007,Nữ,CNTT3,7.0
73,Đặng Minh,26/12/2008,Nữ,CNT2,6.7
74,Phạm Quân,29/10/2008,Nữ,CNTT3,5.5
75,Vũ Phong,15/11/2007,Nam,CNTT3,5.5
76,Nguyễn Linh,24/02/2006,Nữ,CNT2,3.6
77,Hoàng Xuân,11/01/2006,Nam,K15,7.2
78,Vũ Yến,18/02/2008,Nữ,CNT2,3.3
79,Đặng Xuân,12/11/2006,Nữ,K15,3.7
80,Phạm An,11/01/2008,Nam,K15,5.4
81,Trần Văn,26/11/2005,Nữ,CNT2,9.7
82,Trần Vy,05/03/2007,Nam,CNT2,9.9
83,Vũ Phong,22/09/2005,Nữ,CNTT4,8.2
84,Phạm Yến,12/11/2008,Nam,K15,4.1
85,Phan Yến,27/06/2008,Nữ,CNTT4,9.6
86,Vũ Quân,15/04/2007,Nam,CNT2,7.2
87,Nguyễn Yến,13/09/2007,Nữ,CNT1,8.5
88,Đặng Minh,31/03/2006,Nam,K15,7.1
89,Đặng Minh,07/04/2008,Nam,CNT1,7.0
90,Phan Hải,20/03/2005,Nữ,CNT2,4.0
91,Phạm Văn,20/07/2006,Nữ,CNT2,6.9
92,Dương Yến,22/08/2008,Nam,CNT1,8.0
93,Đặng Phong,07/10/2005,Nam,CNT2,3.3
94,Nguyễn Văn,22/02/2008,Nam,CNTT3,9.8
95,Vũ Huy,18/04/2006,Nam,CNTT4,7.3
96,Vũ Hải,06/10/2006,Nam,CNT1,8.1
97,Trần Vinh,31/07/2006,Nữ,CNT1,9.2
98,Bùi Hảo,01/06/2008,Nam,CNT1,5.0
99,Hoàng Khánh,16/12/2006,Nam,CNTT4,9.2
100,Nguyễn Hảo,04/03/2007,Nữ,CNTT3,3.2
